name,ID,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4
quarrel,43,miss,,,,,,,,,,
fletch,44,miss,,,,,,,,,,
flight,45,miss,jave,,,,,,,,,
nock,46,miss,,,,,,,,,,
horn,47,helm,miss,knif,,,,,,,,
stinger,48,swor,knif,spea,miss,,,,,,,
quill,49,knif,miss,,,,,,,,,
goad,50,spea,pole,staf,,,,,,,,
branch,51,spea,staf,bow,,,,,,,,
spire,52,staf,,,,,,,,,,
song,53,weap,,,,,,,,,,
call,54,rod,,,,,,,,,,
cry,55,rod,,,,,,,,,,
spell,56,rod,,,,,,,,,,
chant,57,rod,,,,,,,,,,
weaver,58,rod,,,,,,,,,,
gnarl,59,club,wand,staf,,,,,,,,
visage,60,helm,,,,,,,,,,
crest,61,helm,,,,,,,,,,
circlet,62,helm,,,,,,,,,,
veil,63,helm,,,,,,,,,,
hood,64,helm,,,,,,,,,,
mask,65,helm,,,,,,,,,,
brow,66,helm,,,,,,,,,,
casque,67,helm,,,,,,,,,,
visor,68,helm,,,,,,,,,,
cowl,69,helm,,,,,,,,,,
hide,70,tors,,,,,,,,,,
Pelt,71,tors,,,,,,,,,,
carapace,72,tors,,,,,,,,,,
coat,73,tors,,,,,,,,,,
wrap,74,tors,,,,,,,,,,
suit,75,tors,,,,,,,,,,
cloak,76,tors,,,,,,,,,,
shroud,77,tors,,,,,,,,,,
jack,78,tors,,,,,,,,,,
mantle,79,tors,,,,,,,,,,
guard,80,shld,,,,,,,,,,
badge,81,shld,,,,,,,,,,
rock,82,shld,,,,,,,,,,
aegis,83,shld,,,,,,,,,,
ward,84,shld,,,,,,,,,,
tower,85,shld,,,,,,,,,,
shield,86,shld,,,,,,,,,,
wing,87,shld,amul,,,,,,,,,
mark,88,shld,amul,,,,,,,,,
emblem,89,shld,amul,,,,,,,,,
hand,90,glov,,,,,,,,,,
fist,91,glov,h2h,,,,,,,,,
claw,92,glov,h2h,,,,,,,,,
clutches,93,glov,,,,,,,,,,
grip,94,glov,ring,,,,,,,,,
grasp,95,glov,ring,,,,,,,,,
hold,96,glov,ring,,,,,,,,,
touch,97,glov,ring,,,,,,,,,
finger,98,glov,ring,,,,,,,,,
knuckle,99,glov,,,,,,,,,,
shank,100,boot,,,,,,,,,,
spur,101,boot,,,,,,,,,,
tread,102,boot,,,,,,,,,,
stalker,103,boot,,,,,,,,,,
greave,104,boot,,,,,,,,,,
blazer,105,boot,,,,,,,,,,
nails,106,boot,spea,pole,,,,,,,,
trample,107,boot,,,,,,,,,,
Brogues,108,boot,,,,,,,,,,
track,109,boot,,,,,,,,,,
slippers,110,boot,,,,,,,,,,
clasp,111,belt,amul,,,,,,,,,
buckle,112,belt,,,,,,,,,,
harness,113,belt,,,,,,,,,,
lock,114,belt,,,,,,,,,,
fringe,115,belt,,,,,,,,,,
winding,116,belt,,,,,,,,,,
chain,117,belt,,,,,,,,,,
strap,118,belt,,,,,,,,,,
lash,119,belt,,,,,,,,,,
cord,120,belt,,,,,,,,,,
knot,121,ring,,,,,,,,,,
circle,122,ring,,,,,,,,,,
loop,123,ring,,,,,,,,,,
eye,124,misc,,,,,,,,,,
turn,125,ring,,,,,,,,,,
spiral,126,ring,,,,,,,,,,
coil,127,ring,,,,,,,,,,
gyre,128,ring,orb,jewl,,,,,,,,
band,129,ring,,,,,,,,,,
whorl,130,ring,orb,jewl,,,,,,,,
talisman,131,amul,jewl,,,,,,,,,
heart,132,amul,orb,jewl,,,,,,,,
noose,133,amul,,,,,,,,,,
necklace,134,amul,,,,,,,,,,
collar,135,amul,,,,,,,,,,
beads,136,amul,,,,,,,,,,
torc,137,amul,,,,,,,,,,
gorget,138,amul,,,,,,,,,,
scarab,139,amul,jewl,,,,,,,,,
wood,140,spea,pole,wand,staf,,,,,,,
brand,141,blun,,,,,,,,,,
bludgeon,142,blun,,,,,,,,,,
cudgel,143,club,wand,,,,,,,,,
loom,144,miss,,,,,,,,,,
harp,145,miss,,,,,,,,,,
master,146,ring,,,,,,,,,,
barRI,147,blun,spea,pole,,,,,,,,
hew,148,swor,knif,axe,,,,,,,,
crook,149,staf,,,,,,,,,,
mar,150,swor,knif,mace,club,hamm,spea,,,,,
shell,151,tors,helm,shld,,,,,,,,
stake,152,spea,pole,,,,,,,,,
picket,153,spea,pole,,,,,,,,,
pale,154,spea,pole,,,,,,,,,
flange,155,tors,mace,hamm,scep,,,,,,,
