Name,ID,level,maxlevel,levelreq,classspecific,class,classlevelreq,mod1code,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
Snake's,801,6,,4,,,,mana,shld,rod,belt,ring,amul,,,,,,,
Serpent's,802,14,,10,,,,mana,shld,rod,belt,ring,amul,,,,,,,
Serpent's,803,37,,27,,,,mana,tors,helm,boot,glov,mele,,,h2h,rod,,,
Drake's,804,20,,15,,,,mana,rod,ring,amul,belt,,,,,,,,
Dragon's,805,24,,18,,,,mana,rod,ring,amul,,,,,,,,,
Dragon's,806,52,,39,,,,mana,tors,helm,boot,glov,,,,,,,,
Wyrm's,807,30,,22,,,,mana,rod,ring,amul,,,,,,,,,
,808,,,,,,,,,,,,,,,,,,,
,809,,,,,,,,,,,,,,,,,,,
Prismatic,810,27,,20,,,,res-all,amul,,,,,,,,,,,
Prismatic,811,62,,46,,,,res-all,ring,,,,,,,,,,,
Azure,812,5,,3,,,,res-cold,armo,rod,miss,ring,amul,,,,,,,
Lapis,813,12,,9,,,,res-cold,armo,ring,amul,rod,,,,,,,,
Lapis,814,35,,26,,,,res-cold,weap,glov,,,,,,rod,,,,
Cobalt,815,18,,13,,,,res-cold,armo,ring,amul,rod,,,,glov,,,,
Cobalt,816,55,,41,,,,res-cold,weap,glov,,,,,,rod,,,,
,817,,,,,,,,,,,,,,,,,,,
Sapphire,818,25,,18,,,,res-cold,rod,boot,ring,amul,miss,,,scep,,,,
,819,,,,,,,,,,,,,,,,,,,
,820,,,,,,,,,,,,,,,,,,,
Crimson,821,5,,3,,,,res-fire,armo,rod,miss,ring,amul,amul,,,,,,
Burgundy,822,12,,9,,,,res-fire,armo,rod,ring,amul,amul,,,,,,,
Burgundy,823,35,,26,,,,res-fire,weap,,,,,,,rod,,,,
Garnet,824,18,,13,,,,res-fire,armo,rod,ring,amul,,,,glov,,,,
Garnet,825,55,,41,,,,res-fire,weap,glov,,,,,,rod,,,,
,826,,,,,,,,,,,,,,,,,,,
Ruby,827,25,,18,,,,res-fire,wand,staf,boot,ring,amul,,,,,,,
,828,,,,,,,,,,,,,,,,,,,
,829,,,,,,,,,,,,,,,,,,,
Ocher,830,5,,3,,,,res-ltng,armo,rod,ring,amul,miss,,,,,,,
Tangerine,831,12,,9,,,,res-ltng,armo,ring,amul,rod,,,,,,,,
Tangerine,832,35,,26,,,,res-ltng,weap,,,,,,,rod,,,,
Coral,833,18,,13,,,,res-ltng,armo,ring,amul,rod,,,,glov,,,,
Coral,834,55,,41,,,,res-ltng,weap,glov,,,,,,rod,,,,
,835,,,,,,,,,,,,,,,,,,,
Amber,836,25,,18,,,,res-ltng,armo,ring,amul,staf,wand,,,shld,glov,,,
,837,,,,,,,,,,,,,,,,,,,
,838,,,,,,,,,,,,,,,,,,,
Beryl,839,5,,3,,,,res-pois,armo,ring,amul,scep,staf,miss,,,,,,
Jade,840,12,,9,,,,res-pois,armo,ring,amul,scep,staf,,,,,,,
Jade,841,35,,26,,,,res-pois,weap,ring,,,,,,staf,scep,,,
Viridian,842,18,,13,,,,res-pois,tors,helm,shld,scep,staf,ring,amul,,,,,
Viridian,843,55,,41,,,,res-pois,weap,boot,glov,belt,,,,staf,scep,,,
,844,,,,,,,,,,,,,,,,,,,
Emerald,845,25,,18,,,,res-pois,scep,ring,amul,,,,,,,,,
,846,,,,,,,,,,,,,,,,,,,
Fletcher's,847,30,,22,,,,ama,miss,amul,,,,,,,,,,
Archer's,848,40,,30,,,,ama,miss,,,,,,,,,,,
Archer's,849,90,,67,,,,ama,amul,,,,,,,,,,,
Monk's,850,30,,22,,,,pal,scep,amul,,,,,,,,,,
Priest's,851,40,,30,,,,pal,scep,,,,,,,,,,,
Priest's,852,90,,67,,,,pal,amul,,,,,,,,,,,
Summoner's,853,30,,22,,,,nec,wand,amul,,,,,,,,,,
Necromancer's,854,40,,30,,,,nec,wand,,,,,,,,,,,
Necromancer's,855,90,,67,,,,nec,amul,,,,,,,,,,,
Angel's,856,30,,22,,,,sor,staf,amul,,,,,,,,,,
Arch-Angel's,857,40,,30,,,,sor,staf,,,,,,,,,,,
Arch-Angel's,858,90,,67,,,,sor,amul,,,,,,,,,,,
Slayer's,859,30,,22,,,,bar,mele,amul,,,,,,rod,h2h,,,
Berserker's,860,40,,30,,,,bar,mele,,,,,,,rod,h2h,,,
Berserker's,861,90,,67,,,,bar,amul,,,,,,,,,,,
,862,,,,,,,,,,,,,,,,,,,
,863,,,,,,,,,,,,,,,,,,,
Triumphant,864,3,,2,,,,mana-kill,mele,ring,,,,,,,,,,
Expansion,865,,,,,,,,,,,,,,,,,,,
Stout,866,1,,1,,,,ac,lcha,,,,,,,,,,,
Stout,867,7,,5,,,,ac,lcha,,,,,,,,,,,
Stout,868,12,,9,,,,ac,lcha,,,,,,,,,,,
Burly,869,17,,12,,,,ac,lcha,,,,,,,,,,,
Burly,870,22,,16,,,,ac,lcha,,,,,,,,,,,
Burly,871,27,,20,,,,ac,lcha,,,,,,,,,,,
Stalwart,872,32,,24,,,,ac,lcha,,,,,,,,,,,
Stalwart,873,37,,29,,,,ac,lcha,,,,,,,,,,,
Stalwart,874,42,,34,,,,ac,lcha,,,,,,,,,,,
Stout,875,1,,1,,,,ac,mcha,,,,,,,,,,,
Stout,876,14,,10,,,,ac,mcha,,,,,,,,,,,
Stout,877,20,,15,,,,ac,mcha,,,,,,,,,,,
Burly,878,26,,19,,,,ac,mcha,,,,,,,,,,,
Burly,879,32,,24,,,,ac,mcha,,,,,,,,,,,
Stalwart,880,38,,30,,,,ac,mcha,,,,,,,,,,,
Stalwart,881,45,,37,,,,ac,mcha,,,,,,,,,,,
Stout,882,1,,1,,,,ac,scha,,,,,,,,,,,
Stout,883,21,,15,,,,ac,scha,,,,,,,,,,,
Burly,884,36,,28,,,,ac,scha,,,,,,,,,,,
Stalwart,885,48,,40,,,,ac,scha,,,,,,,,,,,
Blanched,886,1,,1,,,,ac,jewl,,,,,,,,,,,
Eburin,887,16,,12,,,,ac,jewl,,,,,,,,,,,
Bone,888,32,,24,,,,ac,jewl,,,,,,,,,,,
Ivory,889,64,,56,,,,ac,jewl,,,,,,,,,,,
Sturdy,890,1,,1,,,,ac%,armo,,,,,,,,,,,
Sturdy,891,4,,3,,,,ac%,armo,,,,,,,,,,,
Strong,892,9,,6,,,,ac%,armo,,,,,,,,,,,
Glorious,893,19,,14,,,,ac%,armo,,,,,,,,,,,
Blessed,894,25,,18,,,,ac%,armo,,,,,,,,,,,
Saintly,895,31,,23,,,,ac%,armo,,,,,,,,,,,
Holy,896,36,,27,,,,ac%,armo,,,,,,,,,,,
Godly,897,45,,38,,,,ac%,armo,,,,,,,,,,,
Devious,898,7,,5,,,,red-mag,shld,circ,orb,wand,staf,,,,,,,
Blank,899,14,,10,,,,red-mag,shld,circ,orb,wand,staf,,,,,,,
Null,900,21,,16,,,,red-mag,shld,circ,,,,,,,,,,
Antimagic,901,28,,21,,,,red-mag,shld,circ,,,,,,,,,,
Red,902,4,,3,,,,dmg-min,lcha,,,,,,,,,,,
Red,903,16,,12,,,,dmg-min,lcha,,,,,,,,,,,
Sanguinary,904,28,,21,,,,dmg-min,lcha,,,,,,,,,,,
Sanguinary,905,40,,32,,,,dmg-min,lcha,,,,,,,,,,,
Bloody,906,52,,46,,,,dmg-min,lcha,,,,,,,,,,,
Red,907,11,,8,,,,dmg-min,mcha,,,,,,,,,,,
Sanguinary,908,33,,25,,,,dmg-min,mcha,,,,,,,,,,,
Bloody,909,55,,47,,,,dmg-min,mcha,,,,,,,,,,,
Red,910,24,,16,,,,dmg-min,scha,,,,,,,,,,,
Sanguinary,911,41,,33,,,,dmg-min,scha,,,,,,,,,,,
Bloody,912,58,,50,,,,dmg-min,scha,,,,,,,,,,,
Scarlet,913,8,,6,,,,dmg-min,jewl,,,,,,,,,,,
Crimson,914,38,,30,,,,dmg-min,jewl,,,,,,,,,,,
Jagged,915,3,,2,,,,dmg-max,lcha,,,,,,,,,,,
Jagged,916,10,,7,,,,dmg-max,lcha,,,,,,,,,,,
Jagged,917,17,,12,,,,dmg-max,lcha,,,,,,,,,,,
Forked,918,25,,18,,,,dmg-max,lcha,,,,,,,,,,,
Forked,919,32,,24,,,,dmg-max,lcha,,,,,,,,,,,
Serrated,920,39,,31,,,,dmg-max,lcha,,,,,,,,,,,
Serrated,921,47,,39,,,,dmg-max,lcha,,,,,,,,,,,
Jagged,922,10,,7,,,,dmg-max,mcha,,,,,,,,,,,
Jagged,923,20,,15,,,,dmg-max,mcha,,,,,,,,,,,
Forked,924,30,,22,,,,dmg-max,mcha,,,,,,,,,,,
Forked,925,40,,32,,,,dmg-max,mcha,,,,,,,,,,,
Serrated,926,50,,42,,,,dmg-max,mcha,,,,,,,,,,,
Jagged,927,23,,17,,,,dmg-max,scha,,,,,,,,,,,
Forked,928,38,,30,,,,dmg-max,scha,,,,,,,,,,,
Serrated,929,53,,45,,,,dmg-max,scha,,,,,,,,,,,
Carbuncle,930,12,,9,,,,dmg-max,jewl,,,,,,,,,,,
Carmine,931,35,,27,,,,dmg-max,jewl,,,,,,,,,,,
Vermillion,932,58,,50,,,,dmg-max,jewl,,,,,,,,,,,
Jagged,933,1,,1,,,,dmg%,weap,circ,,,,,,staf,wand,orb,,
Deadly,934,5,,3,,,,dmg%,weap,circ,,,,,,staf,wand,orb,,
Vicious,935,8,,6,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Brutal,936,14,,10,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Massive,937,20,,15,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Savage,938,26,,19,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Merciless,939,32,,24,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Ferocious,940,41,,33,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Cruel,941,51,,43,,,,dmg%,weap,,,,,,,staf,wand,orb,,
Cinnabar,942,1,,1,,,,dmg%,jewl,,,,,,,,,,,
Rusty,943,13,,9,,,,dmg%,jewl,,,,,,,,,,,
Realgar,944,45,,37,,,,dmg%,jewl,,,,,,,,,,,
Ruby,945,66,,58,,,,dmg%,jewl,,,,,,,,,,,
Vulpine,946,9,,6,,,,dmg-to-mana,shld,amul,orb,staf,,,,,,,,
Dun,947,7,,5,,,,dmg-to-mana,jewl,,,,,,,,,,,
Tireless,948,6,,4,,,,regen-stam,boot,,,,,,,,,,,
Tireless,949,14,,10,,,,regen-stam,boot,,,,,,,,,,,
Brown,950,39,,31,,,,regen-stam,jewl,,,,,,,,,,,
Rugged,951,1,,1,,,,stam,lcha,,,,,,,,,,,
Rugged,952,7,,5,,,,stam,lcha,,,,,,,,,,,
Rugged,953,21,,15,,,,stam,lcha,,,,,,,,,,,
Rugged,954,1,,,,,,stam,mcha,,,,,,,,,,,
Rugged,955,7,,5,,,,stam,mcha,,,,,,,,,,,
Rugged,956,21,,15,,,,stam,mcha,,,,,,,,,,,
Rugged,957,1,,,,,,stam,scha,,,,,,,,,,,
Rugged,958,21,,15,,,,stam,scha,,,,,,,,,,,
Rugged,959,1,,1,,,,stam,boot,glov,belt,ring,amul,circ,,,,,,
Rugged,960,8,,6,,,,stam,boot,belt,,,,,,,,,,
Rugged,961,8,,6,,,,stam,ring,amul,circ,,,,,,,,,
Vigorous,962,16,,12,,,,stam,boot,belt,,,,,,,,,,
Chestnut,963,1,,1,,,,stam,jewl,,,,,,,,,,,
Maroon,964,17,,12,,,,stam,jewl,,,,,,,,,,,
Bronze,965,1,,1,,,,att,lcha,,,,,,,,,,,
Bronze,966,7,,5,,,,att,lcha,,,,,,,,,,,
Bronze,967,13,,9,,,,att,lcha,,,,,,,,,,,
Iron,968,19,,14,,,,att,lcha,,,,,,,,,,,
Iron,969,25,,18,,,,att,lcha,,,,,,,,,,,
Iron,970,31,,23,,,,att,lcha,,,,,,,,,,,
Steel,971,37,,29,,,,att,lcha,,,,,,,,,,,
Steel,972,43,,35,,,,att,lcha,,,,,,,,,,,
Steel,973,49,,41,,,,att,lcha,,,,,,,,,,,
Bronze,974,1,,1,,,,att,mcha,,,,,,,,,,,
Bronze,975,7,,5,,,,att,mcha,,,,,,,,,,,
Bronze,976,16,,12,,,,att,mcha,,,,,,,,,,,
Iron,977,25,,18,,,,att,mcha,,,,,,,,,,,
Iron,978,34,,26,,,,att,mcha,,,,,,,,,,,
Steel,979,43,,36,,,,att,mcha,,,,,,,,,,,
Steel,980,52,,44,,,,att,mcha,,,,,,,,,,,
Bronze,981,1,,1,,,,att,scha,,,,,,,,,,,
Bronze,982,21,,15,,,,att,scha,,,,,,,,,,,
Iron,983,39,,31,,,,att,scha,,,,,,,,,,,
Steel,984,57,,49,,,,att,scha,,,,,,,,,,,
Bronze,985,1,,1,,,,att,weap,ring,glov,amul,circ,,,staf,wand,orb,,
Iron,986,4,,3,,,,att,weap,ring,circ,,,,,staf,wand,orb,,
Steel,987,8,,6,,,,att,weap,ring,circ,,,,,staf,wand,orb,,
Silver,988,12,,9,,,,att,weap,ring,circ,,,,,staf,wand,orb,,
Gold,989,17,,12,,,,att,weap,ring,circ,,,,,staf,wand,orb,,
Platinum,990,22,,16,,,,att,weap,ring,circ,,,,,staf,wand,orb,,
Meteoric,991,27,,20,,,,att,weap,,,,,,,staf,wand,orb,,
Strange,992,32,,24,,,,att,weap,,,,,,,staf,wand,orb,,
Weird,993,37,,27,,,,att,weap,,,,,,,staf,wand,orb,,
Nickel,994,1,,1,,,,att,jewl,,,,,,,,,,,
Tin,995,8,,6,,,,att,jewl,,,,,,,,,,,
Silver,996,25,,18,,,,att,jewl,,,,,,,,,,,
Argent,997,44,,36,,,,att,jewl,,,,,,,,,,,
Fine,998,15,,11,,,,att,lcha,,,,,,,,,,,
Fine,999,22,,16,,,,att,lcha,,,,,,,,,,,
Sharp,1000,29,,21,,,,att,lcha,,,,,,,,,,,
Fine,1001,19,,14,,,,att,mcha,,,,,,,,,,,
Sharp,1002,28,,21,,,,att,mcha,,,,,,,,,,,
Fine,1003,28,,21,,,,att,scha,,,,,,,,,,,
Sharp,1004,5,,3,,,,att,weap,,,,,,,staf,wand,orb,,
Fine,1005,12,,9,,,,att,weap,,,,,,,staf,wand,orb,,
Warrior's,1006,19,,13,,,,att,weap,,,,,,,staf,wand,orb,,
Soldier's,1007,27,,19,,,,att,weap,,,,,,,staf,wand,orb,,
Knight's,1008,38,,30,,,,att,weap,,,,,,,staf,wand,orb,,
Lord's,1009,47,,39,,,,att,weap,,,,,,,staf,wand,orb,,
King's,1010,56,,48,,,,att,weap,,,,,,,staf,wand,orb,,
Master's,1011,56,,48,,,,att,weap,,,,,,,staf,wand,orb,,
Grandmaster's,1012,69,,61,,,,att,weap,,,,,,,staf,wand,orb,,
Glimmering,1013,1,,1,,,,light,armo,wand,staf,ring,amul,orb,,,,,,
Glowing,1014,6,,4,,,,light,armo,wand,staf,ring,amul,orb,,,,,,
Bright,1015,1,,1,,,,light,jewl,,,,,,,,,,,
Screaming,1016,10,,7,,,,howl,weap,,,,,,,miss,swor,axe,pole,spea
Howling,1017,16,,12,,,,howl,weap,,,,,,,miss,swor,axe,pole,spea
Wailing,1018,20,,13,,,,howl,weap,,,,,,,miss,swor,axe,pole,spea
Screaming,1019,10,,7,,,,howl,miss,,,,,,,,,,,
Howling,1020,16,,12,,,,howl,miss,,,,,,,,,,,
Wailing,1021,24,,18,,,,howl,miss,,,,,,,,,,,
Lucky,1022,21,,,,,,mag%,lcha,,,,,,,,,,,
Lucky,1023,38,,,,,,mag%,lcha,,,,,,,,,,,
Lucky,1024,55,,,,,,mag%,lcha,,,,,,,,,,,
Lucky,1025,34,,,,,,mag%,mcha,,,,,,,,,,,
Lucky,1026,53,,,,,,mag%,mcha,,,,,,,,,,,
Lucky,1027,51,,,,,,mag%,mcha,,,,,,,,,,,
Felicitous,1028,5,,3,,,,mag%,ring,amul,circ,,,,,,,,,
Fortuitous,1029,12,,8,,,,mag%,ring,amul,circ,,,,,,,,,
Emerald,1030,16,,12,,,,mag%,jewl,,,,,,,,,,,
Lizard's,1031,1,,1,,,,mana,lcha,,,,,,,,,,,
Lizard's,1032,7,,5,,,,mana,lcha,,,,,,,,,,,
Lizard's,1033,13,,9,,,,mana,lcha,,,,,,,,,,,
Snake's,1034,19,,14,,,,mana,lcha,,,,,,,,,,,
Snake's,1035,25,,18,,,,mana,lcha,,,,,,,,,,,
Snake's,1036,31,,23,,,,mana,lcha,,,,,,,,,,,
Serpent's,1037,37,,29,,,,mana,lcha,,,,,,,,,,,
Serpent's,1038,43,,35,,,,mana,lcha,,,,,,,,,,,
Serpent's,1039,49,,41,,,,mana,lcha,,,,,,,,,,,
Lizard's,1040,1,,1,,,,mana,mcha,,,,,,,,,,,
Lizard's,1041,9,,6,,,,mana,mcha,,,,,,,,,,,
Lizard's,1042,17,,12,,,,mana,mcha,,,,,,,,,,,
Snake's,1043,25,,18,,,,mana,mcha,,,,,,,,,,,
Snake's,1044,33,,25,,,,mana,mcha,,,,,,,,,,,
Serpent's,1045,41,,33,,,,mana,mcha,,,,,,,,,,,
Serpent's,1046,49,,41,,,,mana,mcha,,,,,,,,,,,
Lizard's,1047,16,,12,,,,mana,scha,,,,,,,,,,,
Lizard's,1048,16,,12,,,,mana,scha,,,,,,,,,,,
Snake's,1049,32,,24,,,,mana,scha,,,,,,,,,,,
Serpent's,1050,48,,40,,,,mana,scha,,,,,,,,,,,
Lizard's,1051,3,,2,,,,mana,armo,ring,amul,rod,orb,,,boot,glov,,,
Snake's,1052,6,,4,,,,mana,shld,rod,belt,ring,amul,circ,,,,,,
Serpent's,1053,14,,10,,,,mana,shld,rod,belt,ring,amul,circ,,,,,,
Serpent's,1054,37,,27,,,,mana,tors,boot,glov,weap,orb,,,rod,,,,
Drake's,1055,20,,15,,,,mana,rod,ring,amul,orb,circ,,,,,,,
Dragon's,1056,24,,18,,,,mana,rod,ring,amul,orb,circ,,,,,,,
Dragon's,1057,52,,39,,,,mana,tors,boot,glov,,,,,,,,,
Wyrm's,1058,30,,22,,,,mana,rod,ring,amul,orb,circ,,,,,,,
Great Wyrm's,1059,37,,29,,,,mana,rod,ring,amul,orb,circ,,,,,,,
Bahamut's,1060,45,,37,,,,mana,rod,ring,amul,orb,circ,,,,,,,
Zircon,1061,3,,2,,,,mana,jewl,,,,,,,,,,,
Jacinth,1062,17,,12,,,,mana,jewl,,,,,,,,,,,
Turquoise,1063,29,,21,,,,mana,jewl,,,,,,,,,,,
Shimmering,1064,8,13,6,,,,res-all,lcha,,,,,,,,,,,
Shimmering,1065,14,34,10,,,,res-all,lcha,,,,,,,,,,,
Shimmering,1066,35,,27,,,,res-all,lcha,,,,,,,,,,,
Shimmering,1067,17,33,12,,,,res-all,mcha,,,,,,,,,,,
Shimmering,1068,34,,26,,,,res-all,mcha,,,,,,,,,,,
Shimmering,1069,33,,25,,,,res-all,scha,,,,,,,,,,,
Shimmering,1070,6,,4,,,,res-all,shld,,,,,,,,,,,
Rainbow,1071,18,,13,,,,res-all,shld,,,,,,,,,,,
Scintillating,1072,28,,21,,,,res-all,shld,,,,,,,,,,,
Prismatic,1073,39,,31,,,,res-all,shld,,,,,,,,,,,
Chromatic,1074,50,,42,,,,res-all,shld,,,,,,,,,,,
Shimmering,1075,8,,6,,,,res-all,amul,circ,,,,,,,,,,
Rainbow,1076,21,,15,,,,res-all,amul,circ,,,,,,,,,,
Scintillating,1077,34,,25,,,,res-all,amul,circ,,,,,,,,,,
Prismatic,1078,42,,31,,,,res-all,amul,circ,,,,,,,,,,
Chromatic,1079,55,,41,,,,res-all,amul,circ,,,,,,,,,,
Shimmering,1080,45,,37,,,,res-all,ring,,,,,,,,,,,
Rainbow,1081,56,,48,,,,res-all,ring,,,,,,,,,,,
Scintillating,1082,67,,59,,,,res-all,ring,,,,,,,,,,,
Shimmering,1083,16,,12,,,,res-all,jewl,,,,,,,,,,,
Scintillating,1084,34,,26,,,,res-all,jewl,,,,,,,,,,,
Azure,1085,1,,1,,,,res-cold,lcha,,,,,,,,,,,
Lapis,1086,10,,7,,,,res-cold,lcha,,,,,,,,,,,
Cobalt,1087,20,,15,,,,res-cold,lcha,,,,,,,,,,,
Sapphire,1088,30,,22,,,,res-cold,lcha,,,,,,,,,,,
Azure,1089,1,,1,,,,res-cold,mcha,,,,,,,,,,,
Lapis,1090,16,,12,,,,res-cold,mcha,,,,,,,,,,,
Cobalt,1091,25,,18,,,,res-cold,mcha,,,,,,,,,,,
Sapphire,1092,35,,27,,,,res-cold,mcha,,,,,,,,,,,
Azure,1093,1,,1,,,,res-cold,scha,,,,,,,,,,,
Lapis,1094,14,,10,,,,res-cold,scha,,,,,,,,,,,
Cobalt,1095,27,,20,,,,res-cold,scha,,,,,,,,,,,
Sapphire,1096,40,,32,,,,res-cold,scha,,,,,,,,,,,
Azure,1097,5,,3,,,,res-cold,armo,weap,ring,amul,orb,circ,,,,,,
Lapis,1098,12,,9,,,,res-cold,armo,ring,amul,orb,circ,,,,,,,
Lapis,1099,35,,26,,,,res-cold,weap,,,,,,,orb,,,,
Cobalt,1100,18,,13,,,,res-cold,armo,ring,amul,orb,circ,,,,,,,
Cobalt,1101,55,,41,,,,res-cold,weap,,,,,,,orb,,,,
Sapphire,1102,25,,18,,,,res-cold,rod,boot,amul,orb,circ,,,,,,,
Lapis Lazuli,1103,2,,1,,,,res-cold,jewl,,,,,,,,,,,
Sapphire,1104,19,,14,,,,res-cold,jewl,,,,,,,,,,,
Crimson,1105,1,,1,,,,res-fire,lcha,,,,,,,,,,,
Russet,1106,10,,7,,,,res-fire,lcha,,,,,,,,,,,
Garnet,1107,20,,15,,,,res-fire,lcha,,,,,,,,,,,
Ruby,1108,30,,22,,,,res-fire,lcha,,,,,,,,,,,
Crimson,1109,1,,1,,,,res-fire,mcha,,,,,,,,,,,
Russet,1110,16,,12,,,,res-fire,mcha,,,,,,,,,,,
Garnet,1111,25,,18,,,,res-fire,mcha,,,,,,,,,,,
Ruby,1112,35,,27,,,,res-fire,mcha,,,,,,,,,,,
Crimson,1113,1,,1,,,,res-fire,scha,,,,,,,,,,,
Russet,1114,14,,10,,,,res-fire,scha,,,,,,,,,,,
Garnet,1115,27,,20,,,,res-fire,scha,,,,,,,,,,,
Ruby,1116,40,,32,,,,res-fire,scha,,,,,,,,,,,
Russet,1117,12,,9,,,,res-fire,armo,ring,amul,orb,circ,,,,,,,
Russet,1118,35,,26,,,,res-fire,weap,,,,,,,orb,,,,
Garnet,1119,18,,13,,,,res-fire,armo,ring,amul,orb,circ,,,,,,,
Garnet,1120,55,,41,,,,res-fire,weap,,,,,,,orb,,,,
Ruby,1121,25,,18,,,,res-fire,rod,boot,amul,orb,circ,,,,,,,
Garnet,1122,2,,1,,,,res-fire,jewl,,,,,,,,,,,
Ruby,1123,18,,13,,,,res-fire,jewl,,,,,,,,,,,
Tangerine,1124,1,,1,,,,res-ltng,lcha,,,,,,,,,,,
Ocher,1125,10,,7,,,,res-ltng,lcha,,,,,,,,,,,
Coral,1126,20,,15,,,,res-ltng,lcha,,,,,,,,,,,
Amber,1127,30,,22,,,,res-ltng,lcha,,,,,,,,,,,
Tangerine,1128,1,,1,,,,res-ltng,mcha,,,,,,,,,,,
Ocher,1129,16,,12,,,,res-ltng,mcha,,,,,,,,,,,
Coral,1130,25,,18,,,,res-ltng,mcha,,,,,,,,,,,
Amber,1131,35,,27,,,,res-ltng,mcha,,,,,,,,,,,
Tangerine,1132,1,,1,,,,res-ltng,scha,,,,,,,,,,,
Ocher,1133,14,,10,,,,res-ltng,scha,,,,,,,,,,,
Coral,1134,27,,20,,,,res-ltng,scha,,,,,,,,,,,
Amber,1135,40,,32,,,,res-ltng,scha,,,,,,,,,,,
Tangerine,1136,5,,3,,,,res-ltng,armo,weap,ring,amul,orb,circ,,,,,,
Ocher,1137,12,,9,,,,res-ltng,armo,ring,amul,orb,circ,,,,,,,
Ocher,1138,35,,26,,,,res-ltng,weap,,,,,,,orb,,,,
Coral,1139,18,,13,,,,res-ltng,armo,ring,amul,orb,circ,,,,,,,
Coral,1140,55,,41,,,,res-ltng,weap,,,,,,,orb,,,,
Amber,1141,25,,18,,,,res-ltng,rod,boot,amul,orb,circ,,,,,,,
